SiteID;SiteCode;SiteName;Elevation;Longitude;Latitude;altro_nome1;altro_nome2
1;465;ADELFIA;153;16.8666166667;41.0002861111;Adelfia;Adelfia
2;476;ALBERONA;744;15.1233583333;41.4309333333;Alberona;Alberona
3;401;ALTAMURA;482;16.5534444444;40.8231388889;Altamura;Altamura
4;46;ANDRETTA;890;15.332625;40.9283111111;Andretta;Andretta
5;33;ANDRIA;162;16.2942333333;41.220475;Andria;Andria
6;62;ANZANO_DI_PUGLIA;760;15.2810194444;41.1242583333;Anzano_di_puglia;Anzano_di_puglia
7;63;APRICENA;73;15.4482388889;41.7813694444;Apricena;Apricena
8;55;ASCOLI_SATRIANO;437;15.5645722222;41.2012111111;Ascoli_satriano;Ascoli_satriano
9;495;ATELLA;495;15.6523611111;40.8726777778;Atella;Atella
10;56;AVETRANA;72;17.7279111111;40.3435916667;Avetrana;Avetrana
12;467;BARI_(OSSERVATORIO);34;16.8718361111;41.1172611111;Bari_(osservatorio);Bari_(osservatorio)
14;29;BARLETTA;30;16.2747583333;41.3133944444;Barletta;Barletta
15;403;BICCARI;470;15.1900027778;41.3920166667;Biccari;Biccari
16;464;BISACCIA;900;15.3795416667;41.0070111111;Bisaccia;Bisaccia
17;1;BISCEGLIE;32;16.4967666667;41.238175;Bisceglie;Bisceglie
18;468;BITONTO;126;16.6941361111;41.1091472222;Bitonto;Bitonto
19;404;BORGO_LIBERTA;252;15.7155805556;41.1889083333;Borgo_liberta;Borgo_liberta
20;405;BOSCO_UMBRA;798;15.9947194444;41.8170361111;Bosco_umbra;Bosco_umbra
21;406;BOVINO;620;15.3375083333;41.2449861111;Bovino;Bovino
22;6;BRINDISI;19;17.9269444444;40.6447222222;Brindisi;Brindisi
23;407;CAGNANO_VARANO;181;15.7695666667;41.8262277778;Cagnano_varano;Cagnano_varano
24;408;CALITRI;706;15.4074333333;40.9298694444;Calitri;Calitri
26;477;CANDELA;475;15.5163916667;41.1329055556;Candela;Candela
27;409;CANOSA_DI_PUGLIA;154;16.0619777778;41.2240277778;Canosa_di_puglia;Canosa_di_puglia
28;84;CARLANTINO;582;14.9794611111;41.5907861111;Carlantino;Carlantino
29;91;CASALNUOVO_MONTEROTARO;417;15.1;41.6166666667;Casalnuovo_monterotaro;Casalnuovo_monterotaro
30;42;CASAMASSIMA;229;16.9179527778;40.9540083333;Casamassima;Casamassima
31;53;CASSANO_MURGE;380;16.7709222222;40.8897222222;Cassano_murge;Cassano_delle_murge
32;410;CASTEL_DEL_MONTE;543;16.273875;41.0785027778;Castel_del_monte;Castel_del_monte
33;411;CASTELLANA_GROTTE;290;17.1654083333;40.8814805556;Castellana_grotte;Castellana_grotte
34;51;CASTELLANETA;236;16.932325;40.6288888889;Castellaneta;Castellaneta
35;412;CASTELLUCCIO_DEI_SAURI;284;15.4762083333;41.3026555556;Castelluccio_dei_sauri;Castelluccio_dei_sauri
36;474;CEGLIE_MESSAPICA;286;17.5182027778;40.6452305556;Ceglie_messapica;Ceglie_messapica
37;85;CELENZA_VALFORTORE;592;14.9994027778;41.5649972222;Celenza_valfortore;Celenza_valfortore
38;21;CERIGNOLA;134;15.9050277778;41.2634416667;Cerignola;Cerignola
39;488;COLLEPASSO;120;18.1676194444;40.0725666667;Collepasso;Collepasso
40;469;CONVERSANO;212;17.1140694444;40.9631777778;Conversano;Conversano
41;489;COPERTINO;48;18.0515861111;40.2684027778;Copertino;Copertino
42;16;CORATO;249;16.4133194444;41.1527833333;Corato;Corato
43;413;CORIGLIANO_D_OTRANTO;105;18.2557305556;40.1641277778;Corigliano_d_otranto;Corigliano_d'otranto
44;498;CRISPIANO;264;17.2358083333;40.5990027778;Crispiano;Crispiano
45;64;DELICETO;573;15.3890777778;41.2220472222;Deliceto;Deliceto
46;414;DIGA_CELONE;170;15.4360361111;41.4243805556;Diga_celone;Diga_torrebianca_sul_torrente_celone
47;415;DIGA_OSENTO;503;15.5004638889;41.0033722222;Diga_osento;Diga_san_pietro_sul_torrente_osento
48;45;DIGA_RENDINA;214;15.7943916667;41.0497722222;Diga_rendina;Diga_abate_alonia_sul_torrente_rendina
49;3;FAETO;776;15.1631972222;41.3220694444;Faeto;Faeto
50;24;FASANO;121;17.3583333333;40.8380388889;Fasano;Fasano
51;418;FOGGIA_(IST._SPER.LE_COLTURE_FORAGG.);84;15.5012777778;41.4602277778;Foggia_(ist._sper.le_colture_foragg.);Foggia_(ist._sperim._per_cerealicoltura)
52;26;FOGGIA_(OSSERVATORIO);82;15.5427055556;41.4607444444;Foggia_(osservatorio);Foggia_(osservatorio)
53;478;FONTE_ROSA;25;15.7743;41.434275;Fonte_rosa;Fonte_rosa
54;419;FORENZA;753;15.8481472222;40.8586277778;Forenza;Forenza
55;490;GALATINA;84;18.1715055556;40.1720138889;Galatina;Galatina
56;420;GALLIPOLI;31;17.9944777778;40.0545055556;Gallipoli;Gallipoli
57;421;GINOSA;272;16.7574861111;40.5767722222;Ginosa;Ginosa
58;54;GINOSA_MARINA;20;16.8844388889;40.4266027778;Ginosa_marina;Ginosa_marina
59;27;GIOIA_DEL_COLLE;377;16.9230694444;40.8005027778;Gioia_del_colle;Gioia_del_colle
60;470;GIOVINAZZO;25;16.6711055556;41.1854555556;Giovinazzo;Giovinazzo
61;37;GROTTAGLIE;140;17.4413722222;40.5393361111;Grottaglie;Grottaglie
62;12;GRUMO_APPULA;191;16.7103611111;41.0117;Grumo_appula;Grumo_appula
64;422;LAGOPESOLE;782;15.7358388889;40.8030388889;Lagopesole;Lagopesole
65;35;LATIANO;107;17.7098194444;40.5485638889;Latiano;Latiano
66;50;LAVELLO;328;15.7951944444;41.0507777778;Lavello;Lavello
67;423;LECCE;50;18.1675;40.3582944444;Lecce;Lecce
68;424;LESINA;13;15.3532472222;41.862225;Lesina;Lesina
69;52;LIZZANO;63;17.4487333333;40.3873638889;Lizzano;Lizzano
70;471;LOCONIA;102;15.9405055556;41.1606083333;Loconia;Loconia
71;25;LOCOROTONDO;404;17.33825;40.7533972222;Locorotondo;Locorotondo
72;49;LUCERA;226;15.3356722222;41.5106611111;Lucera;Lucera
73;8;MAGLIE;102;18.2935944444;40.1189861111;Maglie;Maglie
74;499;MANDURIA;81;17.6351555556;40.39795;Manduria;Manduria
75;425;MANFREDONIA-BONIFICA_SIPONTINA;2;15.8802083333;41.5831138889;Manfredonia-bonifica_sipontina;Manfredonia_(bonifica_sipontina)
76;426;MARTINA_FRANCA;439;17.3452805556;40.6927555556;Martina_franca;Martina_franca
77;41;MASSAFRA;110;17.1084166667;40.5755444444;Massafra;Massafra
81;87;MASSERIA_MODESTI;501;16.4055555556;40.9894444444;Masseria_modesti;Masseria_modesti
82;427;MASSERIA_MONTERUGA;92;17.8287888889;40.3467694444;Masseria_monteruga;Masseria_monteruga
84;428;MASSERIA_S._CHIARA;9;16.1344194444;41.3363916667;Masseria_s._chiara;Masseria_santa_chiara
85;491;MELENDUGNO;50;18.3332861111;40.2692972222;Melendugno;Melendugno
86;429;MELFI;533;15.6272194444;40.989125;Melfi;Melfi
87;430;MERCADANTE;393;16.7005555556;40.8896638889;Mercadante;Mercadante
88;492;MINERVINO_DI_LECCE;104;18.4196;40.0912666667;Minervino_di_lecce;Minervino_di_lecce
89;32;MINERVINO_MURGE;454;16.0840111111;41.0750277778;Minervino_murge;Minervino_murge
90;30;MONTELEONE_DI_PUGLIA;844;15.2587305556;41.1637888889;Monteleone_di_puglia;Monteleone_di_puglia
91;432;MONTEMILONE;343;15.9656472222;41.0251055556;Montemilone;Montemilone
92;48;MONTE_S._ANGELO;817;15.9617944444;41.7055333333;Monte_s._angelo;Monte_sant'angelo
94;13;MONTICCHIO_BAGNI;747;15.6067194444;40.9363722222;Monticchio_bagni;Monticchio_bagni
95;433;MONTURSI;387;16.8829861111;40.7598361111;Montursi;Montursi_(aqp)
96;500;MOTTOLA;334;17.0411583333;40.6387583333;Mottola;Mottola
97;19;NARDO;52;18.0338388889;40.1727611111;Nardo;Nardo'
98;472;NOCI;431;17.1228916667;40.7953305556;Noci;Noci
99;493;NOVOLI;51;18.0512472222;40.3780722222;Novoli;Novoli
100;434;NUSCO;841;15.0836194444;40.8875916667;Nusco;Nusco
101;479;ORSARA_DI_PUGLIA;683;15.2665055556;41.280375;Orsara_di_puglia;Orsara_di_puglia
102;40;ORTANOVA;80;15.7068277778;41.3258277778;Ortanova;Ortanova
103;480;ORTO_DI_ZOLFO;854;15.1539472222;41.3714055556;Orto_di_zolfo;Orto_di_zolfo
104;23;OSTUNI;115;17.5741194444;40.7436555556;Ostuni;Ostuni
105;9;OTRANTO;29;18.4885444444;40.1437972222;Otranto;Otranto
106;88;PALAGIANO;33;17.0369583333;40.5709777778;Palagiano;Palagiano
107;61;PANNI;801;15.2804555556;41.2164861111;Panni;Panni
108;496;PESCOPAGANO;920;15.3989333333;40.8332;Pescopagano;Pescopagano
109;22;PIETRAMONTECORVINO;464;15.1289416667;41.5433805556;Pietramontecorvino;Pietramontecorvino
110;435;PIETRAMONTECORVINO_-EAAP;225;15.239;41.5243805556;Pietramontecorvino_(aqp);Pietramontecorvino_(aqp)
111;34;POLIGNANO_A_MARE;50;17.2189611111;40.9911527778;Polignano_a_mare;Polignano_a_mare
112;436;PRESICCE;105;18.2669888889;39.8965638889;Presicce;Presicce
113;65;QUASANO;369;16.5758083333;40.9656722222;Quasano;Quasano
114;437;RIPACANDIDA;658;15.7358083333;40.9160972222;Ripacandida;Ripacandida
115;445;ROCCHETTA_S._ANTONIO;679;15.4655138889;41.1050138889;Rocchetta_s._antonio;Rocchetta_sant'antonio
116;481;ROCCHETTA_S._ANTONIO_(SCALO_);220;15.5492666667;41.0787916667;Rocchetta_s._antonio_(scalo_);Rocchetta_sant'antonio_(trav._s._venere)
117;2;RUFFANO;140;18.2469583333;39.9825944444;Ruffano;Ruffano
118;10;RUVO_DI_PUGLIA;276;16.4835444444;41.1136444444;Ruvo_di_puglia;Ruvo_di_puglia
119;497;SAN_FELE;902;15.540275;40.8197;San_fele;San_fele
120;446;SAN_GIORGIO_JONICO;86;17.3822305556;40.4578;San_giorgio_jonico;San_giorgio_jonico
121;482;SAN_GIOVANNI_ROTONDO;572;15.7087611111;41.7066694444;San_giovanni_rotondo;San_giovanni_rotondo
122;447;SAN_MARCO_IN_LAMIS;564;15.6361194444;41.7101944444;San_marco_in_lamis;San_marco_in_lamis
123;5;SANNICANDRO_GARGANICO;236;15.5624777778;41.8371166667;Sannicandro_garganico;Sannicandro_garganico
124;59;SAN_PANCRAZIO_SALENTINO;64;17.8398305556;40.4185388889;San_pancrazio_salentino;San_pancrazio_salentino
125;83;SAN_PAOLO_CIVITATE;187;15.2585916667;41.7413;San_paolo_civitate;San_paolo_civitate
126;18;SAN_PIETRO_VERNOTICO;49;18.0014694444;40.480625;San_pietro_vernotico;San_pietro_vernotico
127;416;SAN_SAMUELE_DI_CAFIERO;46;16.0592472222;41.2690555556;San_samuele_di_cafiero;San_samuele_di_cafiero
128;448;SAN_SEVERO;97;15.3838361111;41.6928055556;San_severo;San_severo
129;483;SANTAGATA_DI_PUGLIA;710;15.3812611111;41.1492333333;Santagata_di_puglia;Sant'agata_di_puglia
130;450;SANTA_MARIA_DI_LEUCA;26;18.3548555556;39.7986194444;Santa_maria_di_leuca;Santa_maria_di_leuca
131;451;SANT_ANGELO_DEI_LOMBARDI;875;15.1689027778;40.9173138889;Sant_angelo_dei_lombardi;Sant'angelo_dei_lombardi
132;473;SANTERAMO_IN_COLLE;489;16.760925;40.7921388889;Santeramo_in_colle;Santeramo_in_colle
133;449;SAN_VITO_DEI_NORMANNI;116;17.7054416667;40.6570694444;San_vito_dei_normanni;San_vito_dei_normanni
134;452;SAVIGNANO_IRPINO;718;15.1836194444;41.2248222222;Savignano_irpino;Savignano_irpino
135;453;SPINAZZOLA;458;16.0970138889;40.9615527778;Spinazzola;Spinazzola
137;454;TALSANO;37;17.2727555556;40.4102194444;Talsano;Talsano
138;57;TARANTO;27;17.2504222222;40.4643333333;Taranto;Taranto
139;14;TAVIANO;72;18.0887861111;39.9817833333;Taviano;Taviano
140;455;TEORA;687;15.2425388889;40.8455027778;Teora;Teora
141;484;TERTIVERI;364;15.205975;41.4328222222;Tertiveri;Tertiveri
142;485;TORREMAGGIORE;184;15.2920555556;41.6894138889;Torremaggiore;Torremaggiore
143;38;TROIA;448;15.3095888889;41.3614611111;Troia;Troia
144;39;TURI;260;17.0223611111;40.9205111111;Turi;Turi
145;58;VENOSA;426;15.8106361111;40.9641694444;Venosa;Venosa
146;486;VICO_GARGANICO;450;15.9582638889;41.8912305556;Vico_garganico;Vico_del_gargano
147;459;VIESTE;53;16.1752138889;41.8799555556;Vieste;Vieste
148;494;VIGNACASTRISI;99;18.4087944444;40.0118472222;Vignacastrisi;Vignacastrisi
149;86;VOLTURARA_APPULA;604;15.0634194444;41.5020805556;Volturara_appula;Volturara_appula
150;487;VOLTURINO;713;15.1274416667;41.4772388889;Volturino;Volturino
151;103;NA;NA;NA;NA;Acquaviva_delle_fonti;Acquaviva_delle_fonti
152;501;NA;NA;NA;NA;Alessano;NA
153;116;NA;NA;NA;NA;Arpinova;NA
11;466;BARI_(FACOLTA_DINGEGNERIA);23;16.8779194444;41.1064833333;Bari_(politecnico);Bari_(politecnico)
13;402;BARI_(UFFICIO_IDROGRAFICO);17;16.8820027778;41.1198194444;Bari_idrografico;NA
156;810;NA;NA;NA;NA;Bradano_p.te_colonna_(basil);NA
157;82;NA;NA;NA;NA;Can.asso;NA
158;110;NA;NA;NA;NA;Carpino;Carpino
159;60;CELLINO_SAN_MARCO;65;17.9666666667;40.4666666667;Cellino_san_marco;Cellino_san_marco
160;102;NA;NA;NA;NA;Diga_locone;Diga_locone
161;78;NA;NA;NA;NA;F.fortore-p.te_sp41b(ripalta);NA
162;814;NA;NA;NA;NA;Grassano_sp_(basil);NA
163;97;GRAVINA_DI_PUGLIA;401;16.4138916667;40.8251861111;Gravina_di_puglia;Gravina_in_puglia
164;802;NA;NA;NA;NA;Irsina_(basil);NA
165;98;LATERZA;347;16.8;40.6166666667;Laterza;Laterza
166;127;NA;NA;NA;NA;Le_cesine;NA
167;126;NA;NA;NA;NA;Masseria_galeone;NA
168;801;NA;NA;NA;NA;Matera_(basil);NA
169;96;MESAGNE;72;17.7833333333;40.5590583333;Mesagne;Mesagne
170;124;NA;NA;NA;NA;Molfetta;NA
171;95;MONOPOLI;14;17.3122222222;40.9388888889;Monopoli;Monopoli
172;431;NA;NA;NA;NA;Monte_vulture;NA
173;115;NA;NA;NA;NA;Montemesola;NA
174;808;NA;NA;NA;NA;Montescaglioso_(basil);NA
175;806;NA;NA;NA;NA;Oppido_lucano_(basil);NA
176;99;PALAGIANELLO;152;16.9776388889;40.6115277778;Palagianello;Palagianello
177;807;NA;NA;NA;NA;Palazzo_s._gervasio_(basil);NA
178;108;NA;NA;NA;NA;Peschici;Peschici
179;7;POGGIO_IMPERIALE;73;15.3652416667;41.8239;Poggio_imperiale;Poggio_imperiale
180;114;NA;NA;NA;NA;Polibasede;NA
181;109;NA;NA;NA;NA;Rodi_garganico;Rodi_garganico
182;804;NA;NA;NA;NA;San_giuliano_(basil);NA
183;803;NA;NA;NA;NA;San_nicola_(basil);NA
184;113;NA;NA;NA;NA;Statte;NA
185;456;NA;NA;NA;NA;T.atella-ss381;NA
186;80;NA;NA;NA;NA;T.candelaro-p.te_ss272;NA
187;76;NA;NA;NA;NA;T.saccione-p.te_ss16ter;NA
188;106;NA;NA;NA;NA;T.salsola-p.te_ss16;NA
189;123;NA;NA;NA;NA;Terlizzi-depuratore;NA
190;901;ISOLE_TREMITI;35;15.5114944444;42.1251638889;Isole_tremiti;Isole_tremiti_(san_nicola)
191;812;NA;NA;NA;NA;Tricarico_(basil);NA
192;813;NA;NA;NA;NA;Vaglio_di_basilicata_(basil);NA
193;805;NA;NA;NA;NA;Bradano_ss106_(basil);NA
194;NA;NA;NA;NA;NA;NA;Bari_(presidenza_regione)
195;NA;NA;NA;NA;NA;Ripalta;Ripalta
