SiteName;Elevation;Longitude;Latitude;SiteID;County;SiteCode;State;Comments
ADELFIA;153;16.8666166667;41.0002861111;1;Puglia;1;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ALBERONA;744;15.1233583333;41.4309333333;2;Puglia;2;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ALTAMURA;482;16.5534444444;40.8231388889;3;Puglia;3;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ANDRETTA;890;15.332625;40.9283111111;4;Puglia;4;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ANDRIA;162;16.2942333333;41.220475;5;Puglia;5;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ANZANO_DI_PUGLIA;760;15.2810194444;41.1242583333;6;Puglia;6;Italy;NA ** Serie fornita da Centro Funzionale Puglia
APRICENA;73;15.4482388889;41.7813694444;7;Puglia;7;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ASCOLI_SATRIANO;437;15.5645722222;41.2012111111;8;Puglia;8;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ATELLA;495;15.6523611111;40.8726777778;9;Puglia;9;Italy;NA ** Serie fornita da Centro Funzionale Puglia
AVETRANA;72;17.7279111111;40.3435916667;10;Puglia;10;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BARI_(FACOLTA_DINGEGNERIA);23;16.8779194444;41.1064833333;11;Puglia;11;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BARI_(OSSERVATORIO);34;16.8718361111;41.1172611111;12;Puglia;12;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BARI_(UFFICIO_IDROGRAFICO);17;16.8820027778;41.1198194444;13;Puglia;13;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BARLETTA;30;16.2747583333;41.3133944444;14;Puglia;14;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BICCARI;470;15.1900027778;41.3920166667;15;Puglia;15;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BISACCIA;900;15.3795416667;41.0070111111;16;Puglia;16;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BISCEGLIE;32;16.4967666667;41.238175;17;Puglia;17;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BITONTO;126;16.6941361111;41.1091472222;18;Puglia;18;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BORGO_LIBERTA;252;15.7155805556;41.1889083333;19;Puglia;19;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BOSCO_UMBRA;798;15.9947194444;41.8170361111;20;Puglia;20;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BOVINO;620;15.3375083333;41.2449861111;21;Puglia;21;Italy;NA ** Serie fornita da Centro Funzionale Puglia
BRINDISI;19;17.9269444444;40.6447222222;22;Puglia;22;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CAGNANO_VARANO;181;15.7695666667;41.8262277778;23;Puglia;23;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CALITRI;706;15.4074333333;40.9298694444;24;Puglia;24;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CANALE_DELL_ASSO;35;18.0375388889;40.1841611111;25;Puglia;25;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CANDELA;475;15.5163916667;41.1329055556;26;Puglia;26;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CANOSA_DI_PUGLIA;154;16.0619777778;41.2240277778;27;Puglia;27;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CARLANTINO;582;14.9794611111;41.5907861111;28;Puglia;28;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CASALNUOVO_MONTEROTARO;417;15.1;41.6166666667;29;Puglia;29;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CASAMASSIMA;229;16.9179527778;40.9540083333;30;Puglia;30;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CASSANO_MURGE;380;16.7709222222;40.8897222222;31;Puglia;31;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CASTEL_DEL_MONTE;543;16.273875;41.0785027778;32;Puglia;32;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CASTELLANA_GROTTE;290;17.1654083333;40.8814805556;33;Puglia;33;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CASTELLANETA;236;16.932325;40.6288888889;34;Puglia;34;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CASTELLUCCIO_DEI_SAURI;284;15.4762083333;41.3026555556;35;Puglia;35;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CEGLIE_MESSAPICA;286;17.5182027778;40.6452305556;36;Puglia;36;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CELENZA_VALFORTORE;592;14.9994027778;41.5649972222;37;Puglia;37;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CELLINO_SAN_MARCO;65;17.9666666667;40.4666666667;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
CERIGNOLA;134;15.9050277778;41.2634416667;38;Puglia;38;Italy;NA ** Serie fornita da Centro Funzionale Puglia
COLLEPASSO;120;18.1676194444;40.0725666667;39;Puglia;39;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CONVERSANO;212;17.1140694444;40.9631777778;40;Puglia;40;Italy;NA ** Serie fornita da Centro Funzionale Puglia
COPERTINO;48;18.0515861111;40.2684027778;41;Puglia;41;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CORATO;249;16.4133194444;41.1527833333;42;Puglia;42;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CORIGLIANO_D_OTRANTO;105;18.2557305556;40.1641277778;43;Puglia;43;Italy;NA ** Serie fornita da Centro Funzionale Puglia
CRISPIANO;264;17.2358083333;40.5990027778;44;Puglia;44;Italy;NA ** Serie fornita da Centro Funzionale Puglia
DELICETO;573;15.3890777778;41.2220472222;45;Puglia;45;Italy;NA ** Serie fornita da Centro Funzionale Puglia
DIGA_CELONE;170;15.4360361111;41.4243805556;46;Puglia;46;Italy;NA ** Serie fornita da Centro Funzionale Puglia
DIGA_OSENTO;503;15.5004638889;41.0033722222;47;Puglia;47;Italy;NA ** Serie fornita da Centro Funzionale Puglia
DIGA_RENDINA;214;15.7943916667;41.0497722222;48;Puglia;48;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FAETO;776;15.1631972222;41.3220694444;49;Puglia;49;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FASANO;121;17.3583333333;40.8380388889;50;Puglia;50;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FOGGIA_(IST._SPER.LE_COLTURE_FORAGG.);84;15.5012777778;41.4602277778;51;Puglia;51;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FOGGIA_(OSSERVATORIO);82;15.5427055556;41.4607444444;52;Puglia;52;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FONTE_ROSA;25;15.7743;41.434275;53;Puglia;53;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FORENZA;753;15.8481472222;40.8586277778;54;Puglia;54;Italy;NA ** Serie fornita da Centro Funzionale Puglia
FORTORE_A_RIPALTA;19;15.2666638889;41.8597583333;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
GALATINA;84;18.1715055556;40.1720138889;55;Puglia;55;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GALLIPOLI;31;17.9944777778;40.0545055556;56;Puglia;56;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GINOSA;272;16.7574861111;40.5767722222;57;Puglia;57;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GINOSA_MARINA;20;16.8844388889;40.4266027778;58;Puglia;58;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GIOIA_DEL_COLLE;377;16.9230694444;40.8005027778;59;Puglia;59;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GIOVINAZZO;25;16.6711055556;41.1854555556;60;Puglia;60;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GRAVINA_DI_PUGLIA;401;16.4138916667;40.8251861111;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
GROTTAGLIE;140;17.4413722222;40.5393361111;61;Puglia;61;Italy;NA ** Serie fornita da Centro Funzionale Puglia
GRUMO_APPULA;191;16.7103611111;41.0117;62;Puglia;62;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ISOLE_TREMITI;35;15.5114944444;42.1251638889;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
LACEDONIA;717;15.4258194444;41.0533444444;63;Puglia;63;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LAGOPESOLE;782;15.7358388889;40.8030388889;64;Puglia;64;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LATERZA;347;16.8;40.6166666667;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
LATIANO;107;17.7098194444;40.5485638889;65;Puglia;65;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LAVELLO;328;15.7951944444;41.0507777778;66;Puglia;66;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LECCE;50;18.1675;40.3582944444;67;Puglia;67;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LESINA;13;15.3532472222;41.862225;68;Puglia;68;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LIZZANO;63;17.4487333333;40.3873638889;69;Puglia;69;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LOCONIA;102;15.9405055556;41.1606083333;70;Puglia;70;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LOCOROTONDO;404;17.33825;40.7533972222;71;Puglia;71;Italy;NA ** Serie fornita da Centro Funzionale Puglia
LUCERA;226;15.3356722222;41.5106611111;72;Puglia;72;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MAGLIE;102;18.2935944444;40.1189861111;73;Puglia;73;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MANDURIA;81;17.6351555556;40.39795;74;Puglia;74;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MANFREDONIA-BONIFICA_SIPONTINA;2;15.8802083333;41.5831138889;75;Puglia;75;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MARTINA_FRANCA;439;17.3452805556;40.6927555556;76;Puglia;76;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MASSAFRA;110;17.1084166667;40.5755444444;77;Puglia;77;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MASSERIA_MODESTI;501;16.4055555556;40.9894444444;81;Puglia;81;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MASSERIA_MONTERUGA;92;17.8287888889;40.3467694444;82;Puglia;82;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MASSERIA_S._CHIARA;9;16.1344194444;41.3363916667;84;Puglia;84;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MELENDUGNO;50;18.3332861111;40.2692972222;85;Puglia;85;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MELFI;533;15.6272194444;40.989125;86;Puglia;86;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MERCADANTE;393;16.7005555556;40.8896638889;87;Puglia;87;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MESAGNE;72;17.7833333333;40.5590583333;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
MINERVINO_DI_LECCE;104;18.4196;40.0912666667;88;Puglia;88;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MINERVINO_MURGE;454;16.0840111111;41.0750277778;89;Puglia;89;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MONOPOLI;14;17.3122222222;40.9388888889;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
MONTE_S._ANGELO;817;15.9617944444;41.7055333333;92;Puglia;92;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MONTE_VULTURE;1264;15.6293583333;40.9522055556;93;Puglia;93;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MONTELEONE_DI_PUGLIA;844;15.2587305556;41.1637888889;90;Puglia;90;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MONTEMILONE;343;15.9656472222;41.0251055556;91;Puglia;91;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MONTICCHIO_BAGNI;747;15.6067194444;40.9363722222;94;Puglia;94;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MONTURSI;387;16.8829861111;40.7598361111;95;Puglia;95;Italy;NA ** Serie fornita da Centro Funzionale Puglia
MOTTOLA;334;17.0411583333;40.6387583333;96;Puglia;96;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NARDO;52;18.0338388889;40.1727611111;97;Puglia;97;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NOCI;431;17.1228916667;40.7953305556;98;Puglia;98;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NOVOLI;51;18.0512472222;40.3780722222;99;Puglia;99;Italy;NA ** Serie fornita da Centro Funzionale Puglia
NUSCO;841;15.0836194444;40.8875916667;100;Puglia;100;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ORSARA_DI_PUGLIA;683;15.2665055556;41.280375;101;Puglia;101;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ORTANOVA;80;15.7068277778;41.3258277778;102;Puglia;102;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ORTO_DI_ZOLFO;854;15.1539472222;41.3714055556;103;Puglia;103;Italy;NA ** Serie fornita da Centro Funzionale Puglia
OSTUNI;115;17.5741194444;40.7436555556;104;Puglia;104;Italy;NA ** Serie fornita da Centro Funzionale Puglia
OTRANTO;29;18.4885444444;40.1437972222;105;Puglia;105;Italy;NA ** Serie fornita da Centro Funzionale Puglia
PALAGIANELLO;152;16.9776388889;40.6115277778;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
PALAGIANO;33;17.0369583333;40.5709777778;106;Puglia;106;Italy;NA ** Serie fornita da Centro Funzionale Puglia
PANNI;801;15.2804555556;41.2164861111;107;Puglia;107;Italy;NA ** Serie fornita da Centro Funzionale Puglia
PESCOPAGANO;920;15.3989333333;40.8332;108;Puglia;108;Italy;NA ** Serie fornita da Centro Funzionale Puglia
PIETRAMONTECORVINO;464;15.1289416667;41.5433805556;109;Puglia;109;Italy;NA ** Serie fornita da Centro Funzionale Puglia
PIETRAMONTECORVINO_-EAAP;225;15.239;41.5243805556;110;Puglia;110;Italy;NA ** Serie fornita da Centro Funzionale Puglia
POGGIO_IMPERIALE;73;15.3652416667;41.8239;NA;NA;NA;Italy;Stazione che non ha dati ** Serie fornita da Centro Funzionale Puglia
POLIGNANO_A_MARE;50;17.2189611111;40.991152777800004;111;Puglia;111;Italy;NA ** Serie fornita da Centro Funzionale Puglia
PRESICCE;105;18.2669888889;39.8965638889;112;Puglia;112;Italy;NA ** Serie fornita da Centro Funzionale Puglia
QUASANO;369;16.5758083333;40.9656722222;113;Puglia;113;Italy;NA ** Serie fornita da Centro Funzionale Puglia
RIPACANDIDA;658;15.7358083333;40.9160972222;114;Puglia;114;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ROCCHETTA_S._ANTONIO;679;15.4655138889;41.1050138889;115;Puglia;115;Italy;NA ** Serie fornita da Centro Funzionale Puglia
ROCCHETTA_S._ANTONIO_(SCALO_);220;15.5492666667;41.0787916667;116;Puglia;116;Italy;NA ** Serie fornita da Centro Funzionale Puglia
RUFFANO;140;18.2469583333;39.9825944444;117;Puglia;117;Italy;NA ** Serie fornita da Centro Funzionale Puglia
RUVO_DI_PUGLIA;276;16.4835444444;41.1136444444;118;Puglia;118;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_FELE;902;15.540275;40.8197;119;Puglia;119;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_GIORGIO_JONICO;86;17.3822305556;40.4578;120;Puglia;120;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_GIOVANNI_ROTONDO;572;15.7087611111;41.7066694444;121;Puglia;121;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_MARCO_IN_LAMIS;564;15.6361194444;41.7101944444;122;Puglia;122;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_PANCRAZIO_SALENTINO;64;17.8398305556;40.4185388889;124;Puglia;124;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_PAOLO_CIVITATE;187;15.2585916667;41.7413;125;Puglia;125;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_PIETRO_VERNOTICO;49;18.0014694444;40.480625;126;Puglia;126;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_SAMUELE_DI_CAFIERO;46;16.0592472222;41.2690555556;127;Puglia;127;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_SEVERO;97;15.3838361111;41.6928055556;128;Puglia;128;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_VITO_DEI_NORMANNI;116;17.7054416667;40.6570694444;133;Puglia;133;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAN_NICANDRO_GARGANICO;236;15.5624777778;41.8371166667;123;Puglia;123;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SANTA_MARIA_DI_LEUCA;26;18.3548555556;39.7986194444;130;Puglia;130;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SANTAGATA_DI_PUGLIA;710;15.3812611111;41.1492333333;129;Puglia;129;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SANT_ANGELO_DEI_LOMBARDI;875;15.1689027778;40.9173138889;131;Puglia;131;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SANTERAMO_IN_COLLE;489;16.760925;40.7921388889;132;Puglia;132;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SAVIGNANO_IRPINO;718;15.1836194444;41.2248222222;134;Puglia;134;Italy;NA ** Serie fornita da Centro Funzionale Puglia
SPINAZZOLA;458;16.0970138889;40.9615527778;135;Puglia;135;Italy;NA ** Serie fornita da Centro Funzionale Puglia
TALSANO;37;17.2727555556;40.4102194444;137;Puglia;137;Italy;NA ** Serie fornita da Centro Funzionale Puglia
TARANTO;27;17.2504222222;40.4643333333;138;Puglia;138;Italy;NA ** Serie fornita da Centro Funzionale Puglia
TAVIANO;72;18.0887861111;39.9817833333;139;Puglia;139;Italy;NA ** Serie fornita da Centro Funzionale Puglia
TEORA;687;15.2425388889;40.8455027778;140;Puglia;140;Italy;NA ** Serie fornita da Centro Funzionale Puglia
TERTIVERI;364;15.205975;41.4328222222;141;Puglia;141;Italy;NA ** Serie fornita da Centro Funzionale Puglia
TORREMAGGIORE;184;15.2920555556;41.6894138889;142;Puglia;142;Italy;NA ** Serie fornita da Centro Funzionale Puglia
TROIA;448;15.3095888889;41.3614611111;143;Puglia;143;Italy;NA ** Serie fornita da Centro Funzionale Puglia
TURI;260;17.0223611111;40.9205111111;144;Puglia;144;Italy;NA ** Serie fornita da Centro Funzionale Puglia
VENOSA;426;15.810636111099999;40.9641694444;145;Puglia;145;Italy;NA ** Serie fornita da Centro Funzionale Puglia
VICO_GARGANICO;450;15.9582638889;41.8912305556;146;Puglia;146;Italy;NA ** Serie fornita da Centro Funzionale Puglia
VIESTE;53;16.1752138889;41.8799555556;147;Puglia;147;Italy;NA ** Serie fornita da Centro Funzionale Puglia
VIGNACASTRISI;99;18.4087944444;40.0118472222;148;Puglia;148;Italy;NA ** Serie fornita da Centro Funzionale Puglia
VOLTURARA_APPULA;604;15.0634194444;41.5020805556;149;Puglia;149;Italy;NA ** Serie fornita da Centro Funzionale Puglia
VOLTURINO;713;15.1274416667;41.4772388889;150;Puglia;150;Italy;NA ** Serie fornita da Centro Funzionale Puglia
